,bath,bed,final_address,price,sqft
0,None,None,"0Gateway
Rock Springs, WY 82901
","$725,000",None
1,4 Full Baths,4 Beds,"1003WinchesterBlvd.
Rock Springs, WY 82901
","$452,900",None
2,3 Full Baths,5 Beds,"600Talladega
Rock Springs, WY 82901
","$396,900","3,154 Sq. Ft"
3,3 Full Baths,4 Beds,"3239SpearheadWay
Rock Springs, WY 82901
","$389,900","3,076 Sq. Ft"
4,3 Full Baths,3 Beds,"522EmeraldStreet
Rock Springs, WY 82901
","$254,000","1,172 Sq. Ft"
5,2 Full Baths,4 Beds,"1302Veteran'sDrive
Rock Springs, WY 82901
","$252,900","1,932 Sq. Ft"
6,3 Full Baths,4 Beds,"1021CypressCir
Rock Springs, WY 82901
","$210,000","1,676 Sq. Ft"
7,2 Full Baths,3 Beds,"913MadisonDr
Rock Springs, WY 82901
","$209,000","1,344 Sq. Ft"
8,2 Full Baths,3 Beds,"1344TetonStreet
Rock Springs, WY 82901
","$199,900","1,920 Sq. Ft"
9,2 Full Baths,3 Beds,"4MinniesLane
Rock Springs, WY 82901
","$196,900","1,664 Sq. Ft"
